Country,2017,2018,2020,2021,2022,CAF_2017,CAF_2018,CAF_2020,CAF_2021
United Kingdom of Great Britain and Northern Ireland,40621.33,43306.31,40318.56,46510.28,44117.0,55.0,54.0,41.0,47.0
United States of America,59907.75,62823.31,63530.63,70248.63,63416.0,58.0,58.0,,59.0
Uruguay,18769.79,18825.28,15619.54,17313.19,22459.0,30.0,30.0,32.0,40.0
Uzbekistan,1916.76,1597.07,1749.66,1983.06,7449.0,36.0,41.0,40.0,38.0
Vanuatu,3032.2,3076.84,2877.52,2996.62,2586.0,,,,
Venezuela (Bolivarian Republic of),,,,,5178.0,26.0,23.0,35.0,45.0
Viet Nam,2992.07,3267.23,3586.35,3756.49,10869.0,,,,
Virgin Islands (U.S.),35365.07,36653.86,39552.17,,,,,,
West Bank and Gaza,3620.36,3562.33,3233.57,3663.97,,,,,
Yemen,893.72,701.71,,,1927.0,15.0,17.0,,
Zambia,1495.75,1475.2,956.83,1137.34,3342.0,46.0,39.0,43.0,50.0
Zimbabwe,1192.11,2269.18,1372.7,1773.92,2622.0,30.0,29.0,37.0,31.0
